Member_number,Date,itemDescription,Day,Day_Name,Month,Is_Weekend
3164,2015-09-30,brown bread,Wednesday,Wednesday,September,False
3245,2015-05-17,citrus fruit,Sunday,Sunday,May,True
2629,2015-12-06,whole milk,Sunday,Sunday,December,True
1347,2015-09-15,soda,Tuesday,Tuesday,September,False
1216,2015-08-25,root vegetables,Tuesday,Tuesday,August,False
4636,2015-04-10,tropical fruit,Friday,Friday,April,False
1100,2015-03-12,grapes,Thursday,Thursday,March,False
2054,2015-12-15,margarine,Tuesday,Tuesday,December,False
3761,2015-09-26,beef,Saturday,Saturday,September,True
4947,2015-09-14,yogurt,Monday,Monday,September,False
1032,2015-06-15,butter,Monday,Monday,June,False
3353,2015-08-14,rolls/buns,Friday,Friday,August,False
4466,2015-08-20,ham,Thursday,Thursday,August,False
2081,2015-01-22,frankfurter,Thursday,Thursday,January,False
1800,2015-05-02,root vegetables,Saturday,Saturday,May,True
3414,2015-10-23,brown bread,Friday,Friday,October,False
2799,2015-08-12,hamburger meat,Wednesday,Wednesday,August,False
1634,2015-12-03,frankfurter,Thursday,Thursday,December,False
3481,2015-03-22,beef,Sunday,Sunday,March,True
3691,2015-08-24,root vegetables,Monday,Monday,August,False
2811,2015-02-11,butter milk,Wednesday,Wednesday,February,False
2758,2015-11-19,sausage,Thursday,Thursday,November,False
2872,2015-09-19,tropical fruit,Saturday,Saturday,September,True
3339,2015-10-08,canned beer,Thursday,Thursday,October,False
3483,2015-10-28,sausage,Wednesday,Wednesday,October,False
3255,2015-04-29,soda,Wednesday,Wednesday,April,False
3462,2015-11-15,tropical fruit,Sunday,Sunday,November,True
1355,2015-02-28,tropical fruit,Saturday,Saturday,February,True
2952,2015-11-25,whole milk,Wednesday,Wednesday,November,False
2171,2015-06-19,meat,Friday,Friday,June,False
2693,2015-11-02,beef,Monday,Monday,November,False
1348,2015-06-13,chewing gum,Saturday,Saturday,June,True
1112,2015-04-09,ice cream,Thursday,Thursday,April,False
2058,2015-02-24,other vegetables,Tuesday,Tuesday,February,False
2003,2015-11-23,frozen dessert,Monday,Monday,November,False
2166,2015-03-12,rolls/buns,Thursday,Thursday,March,False
3113,2015-06-18,tropical fruit,Thursday,Thursday,June,False
2830,2015-06-22,sausage,Monday,Monday,June,False
3582,2015-06-17,fruit/vegetable juice,Wednesday,Wednesday,June,False
4572,2015-08-19,whole milk,Wednesday,Wednesday,August,False
1373,2015-07-19,grapes,Sunday,Sunday,July,True
2513,2015-11-06,rolls/buns,Friday,Friday,November,False
3050,2015-12-15,other vegetables,Tuesday,Tuesday,December,False
2563,2015-08-03,ham,Monday,Monday,August,False
1055,2015-05-25,yogurt,Monday,Monday,May,False
1887,2015-11-09,sausage,Monday,Monday,November,False
2391,2015-01-03,cookware,Saturday,Saturday,January,True
3347,2015-04-24,pastry,Friday,Friday,April,False
4873,2015-09-03,beverages,Thursday,Thursday,September,False
1571,2015-05-24,bottled beer,Sunday,Sunday,May,True
3571,2015-10-21,tropical fruit,Wednesday,Wednesday,October,False
4348,2015-04-11,tropical fruit,Saturday,Saturday,April,True
2400,2015-02-06,whole milk,Friday,Friday,February,False
2200,2015-10-10,pork,Saturday,Saturday,October,True
3973,2015-09-02,canned beer,Wednesday,Wednesday,September,False
2695,2015-07-04,pork,Saturday,Saturday,July,True
3053,2015-12-25,ice cream,Friday,Friday,December,False
2964,2015-08-11,ice cream,Tuesday,Tuesday,August,False
2494,2015-06-13,packaged fruit/vegetables,Saturday,Saturday,June,True
1603,2015-09-07,frankfurter,Monday,Monday,September,False
1264,2015-12-07,yogurt,Monday,Monday,December,False
2809,2015-04-10,pork,Friday,Friday,April,False
3180,2015-09-15,tropical fruit,Tuesday,Tuesday,September,False
4539,2015-03-09,spread cheese,Monday,Monday,March,False
2990,2015-06-29,pastry,Monday,Monday,June,False
1969,2015-02-11,other vegetables,Wednesday,Wednesday,February,False
1191,2015-08-08,citrus fruit,Saturday,Saturday,August,True
2690,2015-10-20,frankfurter,Tuesday,Tuesday,October,False
3803,2015-10-20,chicken,Tuesday,Tuesday,October,False
3999,2015-04-19,sausage,Sunday,Sunday,April,True
3677,2015-11-30,frankfurter,Monday,Monday,November,False
1168,2015-02-11,whole milk,Wednesday,Wednesday,February,False
1324,2015-12-27,frankfurter,Sunday,Sunday,December,True
3829,2015-07-10,soda,Friday,Friday,July,False
2664,2015-09-20,sausage,Sunday,Sunday,September,True
3002,2015-01-22,whole milk,Thursday,Thursday,January,False
4305,2015-06-23,whole milk,Tuesday,Tuesday,June,False
2633,2015-02-14,brown bread,Saturday,Saturday,February,True
1120,2015-01-14,UHT-milk,Wednesday,Wednesday,January,False
2870,2015-02-25,hamburger meat,Wednesday,Wednesday,February,False
2977,2015-11-16,other vegetables,Monday,Monday,November,False
2135,2015-01-25,whole milk,Sunday,Sunday,January,True
4460,2015-07-12,canned beer,Sunday,Sunday,July,True
2961,2015-07-21,canned beer,Tuesday,Tuesday,July,False
2109,2015-09-24,male cosmetics,Thursday,Thursday,September,False
1023,2015-06-28,bottled beer,Sunday,Sunday,June,True
2645,2015-06-26,newspapers,Friday,Friday,June,False
3251,2015-11-09,yogurt,Monday,Monday,November,False
2309,2015-12-29,frozen meals,Tuesday,Tuesday,December,False
4100,2015-04-22,whole milk,Wednesday,Wednesday,April,False
4628,2015-12-10,soda,Thursday,Thursday,December,False
1073,2015-06-08,curd,Monday,Monday,June,False
1459,2015-07-18,whole milk,Saturday,Saturday,July,True
3752,2015-08-21,bottled water,Friday,Friday,August,False
4655,2015-03-21,citrus fruit,Saturday,Saturday,March,True
2484,2015-06-20,domestic eggs,Saturday,Saturday,June,True
4990,2015-03-15,newspapers,Sunday,Sunday,March,True
2356,2015-02-02,hamburger meat,Monday,Monday,February,False
3476,2015-04-21,detergent,Tuesday,Tuesday,April,False
4643,2015-01-25,cookware,Sunday,Sunday,January,True
3287,2015-02-02,pork,Monday,Monday,February,False
3468,2015-11-14,canned beer,Saturday,Saturday,November,True
2779,2015-12-27,sausage,Sunday,Sunday,December,True
3811,2015-05-11,soft cheese,Monday,Monday,May,False
3122,2015-10-13,canned fruit,Tuesday,Tuesday,October,False
2874,2015-01-22,frankfurter,Thursday,Thursday,January,False
3148,2015-03-28,frankfurter,Saturday,Saturday,March,True
4359,2015-09-24,berries,Thursday,Thursday,September,False
4510,2015-03-26,ice cream,Thursday,Thursday,March,False
3298,2015-04-28,sausage,Tuesday,Tuesday,April,False
3285,2015-07-12,whole milk,Sunday,Sunday,July,True
4752,2015-02-11,UHT-milk,Wednesday,Wednesday,February,False
4741,2015-02-25,whole milk,Wednesday,Wednesday,February,False
4328,2015-07-21,beef,Tuesday,Tuesday,July,False
1052,2015-07-06,yogurt,Monday,Monday,July,False
1719,2015-09-17,canned beer,Thursday,Thursday,September,False
1360,2015-02-05,grapes,Thursday,Thursday,February,False
1299,2015-06-03,whole milk,Wednesday,Wednesday,June,False
4260,2015-11-16,whole milk,Monday,Monday,November,False
1785,2015-07-15,canned beer,Wednesday,Wednesday,July,False
1720,2015-12-05,onions,Saturday,Saturday,December,True
1872,2015-04-05,whole milk,Sunday,Sunday,April,True
1406,2015-03-23,chicken,Monday,Monday,March,False
3560,2015-09-29,other vegetables,Tuesday,Tuesday,September,False
4628,2015-11-29,citrus fruit,Sunday,Sunday,November,True
2692,2015-10-09,white wine,Friday,Friday,October,False
4843,2015-05-13,pork,Wednesday,Wednesday,May,False
4395,2015-06-25,whole milk,Thursday,Thursday,June,False
1196,2015-11-27,candy,Friday,Friday,November,False
1076,2015-05-14,chicken,Thursday,Thursday,May,False
3519,2015-01-28,citrus fruit,Wednesday,Wednesday,January,False
1335,2015-10-18,grapes,Sunday,Sunday,October,True
4988,2015-10-29,rolls/buns,Thursday,Thursday,October,False
4437,2015-10-20,hamburger meat,Tuesday,Tuesday,October,False
2262,2015-10-04,other vegetables,Sunday,Sunday,October,True
4320,2015-01-07,candy,Wednesday,Wednesday,January,False
1155,2015-04-01,sausage,Wednesday,Wednesday,April,False
3101,2015-12-17,pork,Thursday,Thursday,December,False
2433,2015-10-19,onions,Monday,Monday,October,False
2051,2015-11-14,beef,Saturday,Saturday,November,True
3144,2015-08-16,yogurt,Sunday,Sunday,August,True
2000,2015-08-23,sparkling wine,Sunday,Sunday,August,True
2427,2015-06-26,citrus fruit,Friday,Friday,June,False
2916,2015-06-13,semi-finished bread,Saturday,Saturday,June,True
1609,2015-12-17,soda,Thursday,Thursday,December,False
2982,2015-06-25,frankfurter,Thursday,Thursday,June,False
1804,2015-11-30,white bread,Monday,Monday,November,False
4997,2015-12-27,white wine,Sunday,Sunday,December,True
2789,2015-01-28,fish,Wednesday,Wednesday,January,False
2512,2015-04-23,ham,Thursday,Thursday,April,False
2641,2015-03-01,beverages,Sunday,Sunday,March,True
2102,2015-05-10,soda,Sunday,Sunday,May,True
2979,2015-07-17,sliced cheese,Friday,Friday,July,False
2918,2015-10-11,rolls/buns,Sunday,Sunday,October,True
4640,2015-01-31,waffles,Saturday,Saturday,January,True
1149,2015-08-06,bottled beer,Thursday,Thursday,August,False
4608,2015-01-05,hamburger meat,Monday,Monday,January,False
3794,2015-11-26,other vegetables,Thursday,Thursday,November,False
3014,2015-11-04,root vegetables,Wednesday,Wednesday,November,False
2083,2015-03-28,whole milk,Saturday,Saturday,March,True
1656,2015-08-13,bottled beer,Thursday,Thursday,August,False
1482,2015-07-24,sausage,Friday,Friday,July,False
3050,2015-10-20,sausage,Tuesday,Tuesday,October,False
3882,2015-04-23,whole milk,Thursday,Thursday,April,False
2618,2015-12-03,artif. sweetener,Thursday,Thursday,December,False
4888,2015-02-13,finished products,Friday,Friday,February,False
2523,2015-01-12,dog food,Monday,Monday,January,False
4633,2015-04-14,ham,Tuesday,Tuesday,April,False
2440,2015-03-02,bottled beer,Monday,Monday,March,False
2100,2015-07-05,ice cream,Sunday,Sunday,July,True
3691,2015-02-12,coffee,Thursday,Thursday,February,False
4499,2015-05-06,beef,Wednesday,Wednesday,May,False
2370,2015-08-28,frozen fish,Friday,Friday,August,False
3831,2015-10-14,bottled beer,Wednesday,Wednesday,October,False
4744,2015-10-28,onions,Wednesday,Wednesday,October,False
4919,2015-03-12,chicken,Thursday,Thursday,March,False
4876,2015-02-21,beef,Saturday,Saturday,February,True
1296,2015-08-20,meat,Thursday,Thursday,August,False
4845,2015-08-28,chewing gum,Friday,Friday,August,False
4606,2015-03-13,rolls/buns,Friday,Friday,March,False
1438,2015-02-26,frankfurter,Thursday,Thursday,February,False
2777,2015-05-24,whole milk,Sunday,Sunday,May,True
4220,2015-08-10,canned beer,Monday,Monday,August,False
1943,2015-01-07,canned beer,Wednesday,Wednesday,January,False
3535,2015-09-01,specialty chocolate,Tuesday,Tuesday,September,False
2194,2015-01-09,UHT-milk,Friday,Friday,January,False
2326,2015-11-29,beverages,Sunday,Sunday,November,True
4189,2015-04-07,soda,Tuesday,Tuesday,April,False
1023,2015-01-06,root vegetables,Tuesday,Tuesday,January,False
3886,2015-04-01,sausage,Wednesday,Wednesday,April,False
1443,2015-10-09,rolls/buns,Friday,Friday,October,False
1395,2015-06-26,tropical fruit,Friday,Friday,June,False
1291,2015-01-14,citrus fruit,Wednesday,Wednesday,January,False
1374,2015-03-10,salty snack,Tuesday,Tuesday,March,False
4015,2015-02-20,other vegetables,Friday,Friday,February,False
3009,2015-02-18,canned beer,Wednesday,Wednesday,February,False
2961,2015-11-16,chocolate,Monday,Monday,November,False
3260,2015-07-08,onions,Wednesday,Wednesday,July,False
1793,2015-05-19,male cosmetics,Tuesday,Tuesday,May,False
2985,2015-01-05,chicken,Monday,Monday,January,False
1205,2015-03-14,whole milk,Saturday,Saturday,March,True
1116,2015-10-08,white bread,Thursday,Thursday,October,False
1633,2015-08-09,pork,Sunday,Sunday,August,True
3600,2015-07-30,meat,Thursday,Thursday,July,False
4740,2015-07-10,other vegetables,Friday,Friday,July,False
2677,2015-12-23,whole milk,Wednesday,Wednesday,December,False
1540,2015-08-14,beef,Friday,Friday,August,False
4320,2015-04-18,sausage,Saturday,Saturday,April,True
1363,2015-06-16,pastry,Tuesday,Tuesday,June,False
1761,2015-08-09,napkins,Sunday,Sunday,August,True
1733,2015-06-23,canned fish,Tuesday,Tuesday,June,False
1994,2015-10-05,bottled beer,Monday,Monday,October,False
4298,2015-07-25,whole milk,Saturday,Saturday,July,True
1097,2015-11-01,whole milk,Sunday,Sunday,November,True
3766,2015-05-07,frankfurter,Thursday,Thursday,May,False
2348,2015-02-28,tropical fruit,Saturday,Saturday,February,True
4588,2015-11-08,coffee,Sunday,Sunday,November,True
3784,2015-06-14,herbs,Sunday,Sunday,June,True
2787,2015-03-05,sausage,Thursday,Thursday,March,False
2056,2015-11-24,root vegetables,Tuesday,Tuesday,November,False
3986,2015-07-25,curd,Saturday,Saturday,July,True
3861,2015-07-07,dessert,Tuesday,Tuesday,July,False
1094,2015-01-07,tropical fruit,Wednesday,Wednesday,January,False
4743,2015-01-24,pastry,Saturday,Saturday,January,True
3543,2015-06-02,rolls/buns,Tuesday,Tuesday,June,False
4914,2015-03-14,rolls/buns,Saturday,Saturday,March,True
2004,2015-08-21,hamburger meat,Friday,Friday,August,False
4171,2015-06-03,pastry,Wednesday,Wednesday,June,False
3041,2015-09-15,pip fruit,Tuesday,Tuesday,September,False
1324,2015-07-10,bottled water,Friday,Friday,July,False
1524,2015-08-06,cream cheese ,Thursday,Thursday,August,False
4260,2015-05-30,root vegetables,Saturday,Saturday,May,True
1494,2015-09-29,canned beer,Tuesday,Tuesday,September,False
2521,2015-03-03,whole milk,Tuesday,Tuesday,March,False
2225,2015-04-28,rolls/buns,Tuesday,Tuesday,April,False
3486,2015-12-23,root vegetables,Wednesday,Wednesday,December,False
1422,2015-02-28,yogurt,Saturday,Saturday,February,True
3082,2015-02-20,yogurt,Friday,Friday,February,False
1114,2015-03-12,sausage,Thursday,Thursday,March,False
4773,2015-10-31,other vegetables,Saturday,Saturday,October,True
1939,2015-10-30,coffee,Friday,Friday,October,False
2723,2015-11-03,beef,Tuesday,Tuesday,November,False
1361,2015-09-08,beef,Tuesday,Tuesday,September,False
2294,2015-05-10,pip fruit,Sunday,Sunday,May,True
3915,2015-03-05,tropical fruit,Thursday,Thursday,March,False
3579,2015-12-30,pork,Wednesday,Wednesday,December,False
2051,2015-04-20,pork,Monday,Monday,April,False
2113,2015-09-07,sausage,Monday,Monday,September,False
1909,2015-08-31,chicken,Monday,Monday,August,False
2328,2015-02-22,frankfurter,Sunday,Sunday,February,True
2948,2015-06-19,other vegetables,Friday,Friday,June,False
3504,2015-05-20,pip fruit,Wednesday,Wednesday,May,False
3069,2015-04-09,whole milk,Thursday,Thursday,April,False
2142,2015-05-19,pork,Tuesday,Tuesday,May,False
4411,2015-04-17,pip fruit,Friday,Friday,April,False
1993,2015-07-08,pip fruit,Wednesday,Wednesday,July,False
4579,2015-01-09,frankfurter,Friday,Friday,January,False
1177,2015-10-14,canned beer,Wednesday,Wednesday,October,False
2499,2015-04-24,butter,Friday,Friday,April,False
4427,2015-01-14,sausage,Wednesday,Wednesday,January,False
2883,2015-10-12,meat,Monday,Monday,October,False
1242,2015-12-04,dog food,Friday,Friday,December,False
3409,2015-12-11,sausage,Friday,Friday,December,False
1307,2015-06-22,sausage,Monday,Monday,June,False
3507,2015-11-10,pip fruit,Tuesday,Tuesday,November,False
2606,2015-01-26,tropical fruit,Monday,Monday,January,False
3048,2015-06-06,beef,Saturday,Saturday,June,True
2007,2015-11-23,whole milk,Monday,Monday,November,False
3072,2015-01-26,citrus fruit,Monday,Monday,January,False
3354,2015-01-14,pastry,Wednesday,Wednesday,January,False
3656,2015-03-11,frozen meals,Wednesday,Wednesday,March,False
3296,2015-06-06,organic sausage,Saturday,Saturday,June,True
1323,2015-04-30,whole milk,Thursday,Thursday,April,False
1754,2015-09-17,beverages,Thursday,Thursday,September,False
3872,2015-11-03,citrus fruit,Tuesday,Tuesday,November,False
3691,2015-02-05,berries,Thursday,Thursday,February,False
1218,2015-12-29,meat,Tuesday,Tuesday,December,False
1381,2015-03-23,bottled beer,Monday,Monday,March,False
4550,2015-03-02,rolls/buns,Monday,Monday,March,False
1377,2015-02-06,whole milk,Friday,Friday,February,False
4388,2015-02-19,citrus fruit,Thursday,Thursday,February,False
2157,2015-07-14,beverages,Tuesday,Tuesday,July,False
3321,2015-12-25,tropical fruit,Friday,Friday,December,False
3205,2015-12-11,other vegetables,Friday,Friday,December,False
4444,2015-07-22,rolls/buns,Wednesday,Wednesday,July,False
2348,2015-11-01,curd cheese,Sunday,Sunday,November,True
4275,2015-08-18,grapes,Tuesday,Tuesday,August,False
3664,2015-05-04,canned beer,Monday,Monday,May,False
1627,2015-02-11,pip fruit,Wednesday,Wednesday,February,False
1641,2015-05-27,canned beer,Wednesday,Wednesday,May,False
1461,2015-12-21,soda,Monday,Monday,December,False
4266,2015-06-17,berries,Wednesday,Wednesday,June,False
2754,2015-05-02,pip fruit,Saturday,Saturday,May,True
3117,2015-09-30,pork,Wednesday,Wednesday,September,False
1654,2015-04-29,rolls/buns,Wednesday,Wednesday,April,False
1154,2015-05-17,sausage,Sunday,Sunday,May,True
1333,2015-09-22,sausage,Tuesday,Tuesday,September,False
2188,2015-07-28,pip fruit,Tuesday,Tuesday,July,False
4679,2015-05-16,frankfurter,Saturday,Saturday,May,True
2495,2015-07-28,butter,Tuesday,Tuesday,July,False
4117,2015-12-10,organic sausage,Thursday,Thursday,December,False
1500,2015-01-06,frankfurter,Tuesday,Tuesday,January,False
4357,2015-04-13,chicken,Monday,Monday,April,False
1199,2015-11-21,whole milk,Saturday,Saturday,November,True
4467,2015-11-22,berries,Sunday,Sunday,November,True
4220,2015-11-21,beef,Saturday,Saturday,November,True
4376,2015-07-16,rolls/buns,Thursday,Thursday,July,False
4190,2015-12-24,root vegetables,Thursday,Thursday,December,False
4501,2015-06-15,tropical fruit,Monday,Monday,June,False
1454,2015-10-22,beef,Thursday,Thursday,October,False
3922,2015-04-01,beef,Wednesday,Wednesday,April,False
3586,2015-05-02,hamburger meat,Saturday,Saturday,May,True
2139,2015-04-16,citrus fruit,Thursday,Thursday,April,False
2475,2015-11-10,domestic eggs,Tuesday,Tuesday,November,False
3419,2015-12-05,dessert,Saturday,Saturday,December,True
2518,2015-07-03,beverages,Friday,Friday,July,False
1281,2015-06-02,rolls/buns,Tuesday,Tuesday,June,False
2176,2015-02-04,frankfurter,Wednesday,Wednesday,February,False
2787,2015-03-13,citrus fruit,Friday,Friday,March,False
3460,2015-02-14,pork,Saturday,Saturday,February,True
3224,2015-01-19,liver loaf,Monday,Monday,January,False
1540,2015-11-26,frankfurter,Thursday,Thursday,November,False
3942,2015-04-04,whole milk,Saturday,Saturday,April,True
2939,2015-08-03,whole milk,Monday,Monday,August,False
3807,2015-10-26,pork,Monday,Monday,October,False
3380,2015-05-16,pasta,Saturday,Saturday,May,True
1785,2015-06-07,fruit/vegetable juice,Sunday,Sunday,June,True
2625,2015-03-06,chicken,Friday,Friday,March,False
1828,2015-03-24,grapes,Tuesday,Tuesday,March,False
4225,2015-05-08,bottled water,Friday,Friday,May,False
1646,2015-08-28,frankfurter,Friday,Friday,August,False
1412,2015-11-16,frankfurter,Monday,Monday,November,False
1892,2015-04-24,shopping bags,Friday,Friday,April,False
2535,2015-11-10,whole milk,Tuesday,Tuesday,November,False
4107,2015-11-15,sausage,Sunday,Sunday,November,True
1452,2015-03-29,frozen vegetables,Sunday,Sunday,March,True
4853,2015-09-17,pip fruit,Thursday,Thursday,September,False
2196,2015-08-23,tropical fruit,Sunday,Sunday,August,True
1026,2015-05-28,whipped/sour cream,Thursday,Thursday,May,False
3879,2015-12-03,tropical fruit,Thursday,Thursday,December,False
4967,2015-09-23,frankfurter,Wednesday,Wednesday,September,False
3408,2015-11-05,bottled water,Thursday,Thursday,November,False
3732,2015-01-26,berries,Monday,Monday,January,False
1040,2015-11-26,chicken,Thursday,Thursday,November,False
2612,2015-05-31,beverages,Sunday,Sunday,May,True
1137,2015-09-26,other vegetables,Saturday,Saturday,September,True
4223,2015-06-15,white bread,Monday,Monday,June,False
2179,2015-04-16,coffee,Thursday,Thursday,April,False
2604,2015-02-12,frankfurter,Thursday,Thursday,February,False
2238,2015-03-20,sausage,Friday,Friday,March,False
2589,2015-02-12,sausage,Thursday,Thursday,February,False
2402,2015-09-06,soda,Sunday,Sunday,September,True
4130,2015-11-06,tropical fruit,Friday,Friday,November,False
4841,2015-12-17,misc. beverages,Thursday,Thursday,December,False
1734,2015-06-08,tropical fruit,Monday,Monday,June,False
3748,2015-03-27,butter,Friday,Friday,March,False
1021,2015-10-22,curd,Thursday,Thursday,October,False
1104,2015-01-04,other vegetables,Sunday,Sunday,January,True
2613,2015-01-09,specialty bar,Friday,Friday,January,False
4204,2015-10-16,curd,Friday,Friday,October,False
2022,2015-07-22,beef,Wednesday,Wednesday,July,False
2242,2015-06-05,whole milk,Friday,Friday,June,False
4352,2015-07-20,frozen meals,Monday,Monday,July,False
1945,2015-02-05,bottled water,Thursday,Thursday,February,False
1427,2015-11-26,soda,Thursday,Thursday,November,False
3709,2015-09-08,pork,Tuesday,Tuesday,September,False
1349,2015-04-13,whole milk,Monday,Monday,April,False
4691,2015-01-08,shopping bags,Thursday,Thursday,January,False
1465,2015-06-26,sausage,Friday,Friday,June,False
2867,2015-07-16,soft cheese,Thursday,Thursday,July,False
2381,2015-05-17,sausage,Sunday,Sunday,May,True
2471,2015-08-13,frozen vegetables,Thursday,Thursday,August,False
3252,2015-08-22,chicken,Saturday,Saturday,August,True
4077,2015-03-18,yogurt,Wednesday,Wednesday,March,False
2359,2015-04-21,whole milk,Tuesday,Tuesday,April,False
4430,2015-12-02,rolls/buns,Wednesday,Wednesday,December,False
3456,2015-09-10,sausage,Thursday,Thursday,September,False
2563,2015-06-03,yogurt,Wednesday,Wednesday,June,False
2386,2015-10-04,pork,Sunday,Sunday,October,True
4909,2015-10-26,tropical fruit,Monday,Monday,October,False
1014,2015-10-03,sausage,Saturday,Saturday,October,True
1389,2015-02-18,canned beer,Wednesday,Wednesday,February,False
4800,2015-12-24,grapes,Thursday,Thursday,December,False
1069,2015-08-20,tropical fruit,Thursday,Thursday,August,False
1833,2015-07-12,yogurt,Sunday,Sunday,July,True
4028,2015-07-08,frankfurter,Wednesday,Wednesday,July,False
3919,2015-02-09,sausage,Monday,Monday,February,False
3086,2015-01-02,pork,Friday,Friday,January,False
2708,2015-02-17,soda,Tuesday,Tuesday,February,False
3513,2015-08-29,baking powder,Saturday,Saturday,August,True
3774,2015-09-16,misc. beverages,Wednesday,Wednesday,September,False
4827,2015-01-27,processed cheese,Tuesday,Tuesday,January,False
4213,2015-08-23,pork,Sunday,Sunday,August,True
4536,2015-02-24,cream cheese ,Tuesday,Tuesday,February,False
1489,2015-06-23,tropical fruit,Tuesday,Tuesday,June,False
2005,2015-09-22,jam,Tuesday,Tuesday,September,False
2429,2015-06-29,pip fruit,Monday,Monday,June,False
2721,2015-08-10,frankfurter,Monday,Monday,August,False
3909,2015-02-09,flower soil/fertilizer,Monday,Monday,February,False
4808,2015-08-20,whole milk,Thursday,Thursday,August,False
2855,2015-02-03,frankfurter,Tuesday,Tuesday,February,False
4881,2015-07-28,chewing gum,Tuesday,Tuesday,July,False
1214,2015-01-10,chicken,Saturday,Saturday,January,True
1608,2015-11-10,frozen vegetables,Tuesday,Tuesday,November,False
1724,2015-09-09,rolls/buns,Wednesday,Wednesday,September,False
1911,2015-06-02,yogurt,Tuesday,Tuesday,June,False
3881,2015-04-02,frankfurter,Thursday,Thursday,April,False
1780,2015-08-27,sausage,Thursday,Thursday,August,False
4675,2015-09-14,citrus fruit,Monday,Monday,September,False
3497,2015-09-24,other vegetables,Thursday,Thursday,September,False
1000,2015-03-15,whole milk,Sunday,Sunday,March,True
3955,2015-08-28,beverages,Friday,Friday,August,False
4232,2015-12-19,Instant food products,Saturday,Saturday,December,True
3472,2015-02-28,hamburger meat,Saturday,Saturday,February,True
4217,2015-02-05,sausage,Thursday,Thursday,February,False
3778,2015-10-01,tropical fruit,Thursday,Thursday,October,False
2666,2015-04-06,whole milk,Monday,Monday,April,False
3518,2015-05-18,pastry,Monday,Monday,May,False
2975,2015-01-28,pasta,Wednesday,Wednesday,January,False
1339,2015-11-28,whole milk,Saturday,Saturday,November,True
2001,2015-01-28,processed cheese,Wednesday,Wednesday,January,False
2091,2015-10-19,brown bread,Monday,Monday,October,False
2453,2015-08-28,frozen meals,Friday,Friday,August,False
4681,2015-02-28,sausage,Saturday,Saturday,February,True
2618,2015-09-14,tropical fruit,Monday,Monday,September,False
3389,2015-01-26,beef,Monday,Monday,January,False
3044,2015-09-29,bottled beer,Tuesday,Tuesday,September,False
3039,2015-09-02,domestic eggs,Wednesday,Wednesday,September,False
4563,2015-05-14,sparkling wine,Thursday,Thursday,May,False
2683,2015-08-11,soda,Tuesday,Tuesday,August,False
3014,2015-10-19,chocolate,Monday,Monday,October,False
4356,2015-12-01,tropical fruit,Tuesday,Tuesday,December,False
3050,2015-05-06,beef,Wednesday,Wednesday,May,False
3613,2015-06-05,brown bread,Friday,Friday,June,False
3152,2015-11-24,whole milk,Tuesday,Tuesday,November,False
4187,2015-10-28,berries,Wednesday,Wednesday,October,False
1584,2015-01-26,soda,Monday,Monday,January,False
1475,2015-03-28,hamburger meat,Saturday,Saturday,March,True
4942,2015-08-06,chocolate,Thursday,Thursday,August,False
2083,2015-11-07,grapes,Saturday,Saturday,November,True
4685,2015-08-27,tropical fruit,Thursday,Thursday,August,False
2070,2015-03-24,yogurt,Tuesday,Tuesday,March,False
2657,2015-04-01,hamburger meat,Wednesday,Wednesday,April,False
4012,2015-04-04,nuts/prunes,Saturday,Saturday,April,True
2698,2015-01-24,pastry,Saturday,Saturday,January,True
2222,2015-12-28,sausage,Monday,Monday,December,False
2421,2015-10-27,sausage,Tuesday,Tuesday,October,False
2410,2015-11-21,berries,Saturday,Saturday,November,True
3036,2015-07-12,canned beer,Sunday,Sunday,July,True
2465,2015-12-27,citrus fruit,Sunday,Sunday,December,True
1366,2015-05-29,rolls/buns,Friday,Friday,May,False
3741,2015-08-06,chicken,Thursday,Thursday,August,False
2230,2015-05-28,frankfurter,Thursday,Thursday,May,False
1206,2015-05-15,rolls/buns,Friday,Friday,May,False
3690,2015-04-24,citrus fruit,Friday,Friday,April,False
3620,2015-06-18,soda,Thursday,Thursday,June,False
4759,2015-02-20,beef,Friday,Friday,February,False
3543,2015-10-11,waffles,Sunday,Sunday,October,True
2792,2015-07-29,whole milk,Wednesday,Wednesday,July,False
1929,2015-07-10,finished products,Friday,Friday,July,False
2433,2015-08-23,whole milk,Sunday,Sunday,August,True
4941,2015-01-15,ham,Thursday,Thursday,January,False
3547,2015-10-07,processed cheese,Wednesday,Wednesday,October,False
1290,2015-04-24,sausage,Friday,Friday,April,False
4207,2015-08-28,curd,Friday,Friday,August,False
2107,2015-03-01,bottled beer,Sunday,Sunday,March,True
3050,2015-03-11,dessert,Wednesday,Wednesday,March,False
3814,2015-07-21,chicken,Tuesday,Tuesday,July,False
4875,2015-09-13,bottled beer,Sunday,Sunday,September,True
3691,2015-08-08,finished products,Saturday,Saturday,August,True
2433,2015-03-14,rolls/buns,Saturday,Saturday,March,True
1407,2015-04-29,fruit/vegetable juice,Wednesday,Wednesday,April,False
4718,2015-06-12,other vegetables,Friday,Friday,June,False
4486,2015-11-09,frozen vegetables,Monday,Monday,November,False
1757,2015-06-15,hamburger meat,Monday,Monday,June,False
2186,2015-07-01,frankfurter,Wednesday,Wednesday,July,False
3752,2015-04-15,yogurt,Wednesday,Wednesday,April,False
3688,2015-10-23,sausage,Friday,Friday,October,False
